,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant,upregulated,downregulated
gene1,8.541317293979345,0.4081482200523726,0.2942714004827376,2.1888980183534104,0.028604253147617883,0.06414981225341718,False,False,False
gene2,21.281238743636653,0.4802284672829467,0.1511979854200467,3.5912361154225594,0.0003291133001009711,0.0016455665005048557,True,True,False
gene3,5.010123488534718,-0.39606606153868723,0.30079565563377003,-2.1434758764078916,0.03207490612670859,0.06414981225341718,False,False,False
gene4,100.5179614203502,-0.3743455161033225,0.11870444353438649,-3.4738676732431117,0.0005130139681410583,0.0017100465604701943,True,False,True
gene5,27.14245027407868,0.5215336500340251,0.15620408617739143,3.762408903642842,0.00016828461267162284,0.0016455665005048557,True,True,False
gene6,5.413042747652502,0.0007149586762083442,0.23920324857414363,0.0046962151102483175,0.9962529762424116,0.9962529762424116,False,False,False
gene7,28.294023040460452,0.10347344106447288,0.14149682658778226,0.8959170981865114,0.3702970415309764,0.4114411572566405,False,False,False
gene8,40.358344420355564,-0.2264141096627651,0.13347930944263334,-1.9842608987353323,0.04722676273687334,0.07871127122812223,False,False,False
gene9,37.16618263398529,-0.1759639484205177,0.129142125491674,-1.5964373852794502,0.1103911749343092,0.14314745871223974,False,False,False
gene10,11.589324902383556,0.23993490048998578,0.23198629662835477,1.5782074165801072,0.11451796696979179,0.14314745871223974,False,False,False
